English,Sinhala
Change in technology,තාක්ෂණයේ වෙනස
Change in processing process,සැකසුම් ක්‍රියාවලියේ වෙනස
Fresh impact assessment,නව බලපෑම් ඇගයීම
Submission to authority,අධිකාරියට ඉදිරිපත් කිරීම
Assessment of compliance,අනුකූලතාව ඇගයීම
Risks associated with processing,සැකසීම සමඟ සම්බන්ධ අවදානම්
Recommended safeguards by authority,අධිකාරිය විසින් නිර්දේශිත ආරක්ෂණ ක්‍රියාමාර්ග
Protection from prohibited statements,තහනම් ප්‍රකාශවලින් ආරක්ෂාව
Use of online accounts,මාර්ගගත ගිණුම් භාවිතය
Use of inauthentic accounts,නොසත්‍ය මාර්ගගත ගිණුම් භාවිතය
Identification of online locations,මාර්ගගත ස්ථාන හඳුනාගැනීම
Declaration of online locations,මාර්ගගත ස්ථාන ප්‍රකාශයට පත් කිරීම
Financing of prohibited statements,තහනම් ප්‍රකාශ සඳහා මුදල් සැපයීම
Support for prohibited communication,තහනම් සන්නිවේදනය සඳහා සහාය
Harm caused by online communication,මාර්ගගත සන්නිවේදනයෙන් ඇතිවන හානිය
Protection from contempt communication,අධිකරණයට අපහාස වන සන්නිවේදනයෙන් ආරක්ෂාව
Prevention of online account misuse,මාර්ගගත ගිණුම් අනිසි භාවිතය වැළැක්වීම
Misuse of bots,බොට් අනිසි භාවිතය
Promotion of prohibited online locations,තහනම් මාර්ගගත ස්ථාන ප්‍රවර්ධනය
Appointment of commission members,කොමිෂන් සභා සාමාජිකයන් පත් කිරීම
Approval of Constitutional Council,ආණ්ඩුක්‍රම ව්‍යවස්ථා සභාවේ අනුමැතිය
Disqualification of commission members,කොමිෂන් සභා සාමාජිකයන්ගේ නුසුදුසුකම
Removal from office,ධූරයෙන් ඉවත් කිරීම
Suspension from office,ධූරයෙන් අත්හිටුවීම
Term of commission members,කොමිෂන් සභා සාමාජිකයන්ගේ ධූර කාලය
Chairman of the commission,කොමිෂන් සභාවේ සභාපතිවරයා
Deputy chairman nomination,නියෝජ්‍ය සභාපති නම් කිරීම
Meetings of the commission,කොමිෂන් සභාවේ රැස්වීම්
Quorum for meetings,රැස්වීම් සඳහා ගණපූරණය
Decision by majority vote,බහුතර ඡන්දයෙන් තීරණය කිරීම
Seal of the commission,කොමිෂන් සභාවේ මුද්‍රාව
Powers of the commission,කොමිෂන් සභාවේ බලතල
Functions of the commission,කොමිෂන් සභාවේ කාර්යයන්
Notice to stop communication,සන්නිවේදනය නතර කිරීමේ දැන්වීම
Recommendation to remove statements,ප්‍රකාශ ඉවත් කිරීමේ නිර්දේශය
Assistance from police,පොලීසියෙන් සහාය ලබාගැනීම
Disciplinary control of staff,කාර්ය මණ්ඩලයේ විනය පාලනය
Communication of false statements,අසත්‍ය ප්‍රකාශ සන්නිවේදනය
Threat to public health,මහජන සෞඛ්‍යයට තර්ජනය
Threat to public order,මහජන සාමයට තර්ජනය
Promotion of ill will,අහිතකර හැඟීම් ප්‍රවර්ධනය
Promotion of hostility,වෛරීභාවය ප්‍රවර්ධනය
Disturbance to religious worship,ආගමික වන්දනාවට බාධා කිරීම
Insulting religious beliefs,ආගමික විශ්වාසයන්ට අපහාස කිරීම
Online cheating offence,මාර්ගගත වංචා අපරාධය
Cheating by personation,පුද්ගල ලෙස පෙනී සිටිමින් වංචා කිරීම
Publication of private information,පුද්ගලික තොරතුරු ප්‍රකාශනය
Communication causing harassment,හිංසනය ඇති කරන සන්නිවේදනය
Violation of personal dignity,පුද්ගල ගෞරවය උල්ලංඝනය කිරීම
Creation of hostile environment,වෛරී පරිසරයක් නිර්මාණය කිරීම
Abusive content relating to children,ළමුන්ට සම්බන්ධ අපයෝජන අන්තර්ගතය
Making of bots,බොට් නිර්මාණය කිරීම
Altering of bots,බොට් වෙනස් කිරීම
Complaint by aggrieved person,අගතියට පත් පුද්ගලයාගේ පැමිණිල්ල
Complaint in electronic form,විද්‍යුත් ආකාරයේ පැමිණිල්ල
Details of responsible persons,වගකිව යුතු පුද්ගලයන්ගේ විස්තර
Identifying features of location,ස්ථානයේ හඳුනාගැනීමේ ලක්ෂණ
Application of the Online Safety Act,මාර්ගගත ආරක්ෂණ පනතේ අදාළ වීම
Objectives of online safety,මාර්ගගත ආරක්ෂණ අරමුණු
Harm caused to persons,පුද්ගලයන්ට සිදුවන හානිය
Loss caused to the State,රාජ්‍යයට සිදුවන පාඩුව
Damage caused to residents,පදිංචිකරුවන්ට සිදුවන හානිය
Commission with perpetual succession,අඛණ්ඩ පැවැත්ම ඇති කොමිෂන් සභාව
Common seal of the Commission,කොමිෂන් සභාවේ පොදු මුද්‍රාව
Appointment by the President,ජනාධිපතිවරයා විසින් පත් කිරීම
Fresh nomination by President,ජනාධිපතිවරයා විසින් නව නාමයෝජනාව
Financial interest of member,සාමාජිකයාගේ මූල්‍යමය උනන්දුව
Absence from consecutive meetings,අඛණ්ඩ රැස්වීම්වලට නොපැමිණීම
Resignation of Commission member,කොමිෂන් සභා සාමාජිකයාගේ ඉල්ලා අස්වීම
Removal of Commission member,කොමිෂන් සභා සාමාජිකයා ඉවත් කිරීම
Suspension of Commission member,කොමිෂන් සභා සාමාජිකයා අත්හිටුවීම
Vacation of office,ධූරය හිස් වීම
Reappointment for further term,තවත් ධූර කාලයක් සඳහා නැවත පත් කිරීම
Remuneration of Commission members,කොමිෂන් සභා සාමාජිකයන්ගේ පාරිශ්‍රමිකය
Chairman resignation procedure,සභාපතිවරයා ඉල්ලා අස්වීමේ ක්‍රියාවලිය
Deputy Chairman functions,නියෝජ්‍ය සභාපතිවරයාගේ කාර්යයන්
Request to call meeting,රැස්වීමක් කැඳවීමට ඉල්ලීම
Urgent matter decision,හදිසි කරුණක් පිළිබඳ තීරණය
Presiding at meetings,රැස්වීම්වල මුලසුන දැරීම
Equality of votes,ඡන්ද සමාන වීම
Regulation of meeting procedure,රැස්වීම් ක්‍රියාවලිය නියාමනය කිරීම
Custody of the seal,මුද්‍රාව භාරයේ තබා ගැනීම
Affixing the seal,මුද්‍රාව තැබීම
Issuing directives to persons,පුද්ගලයන්ට නියෝග නිකුත් කිරීම
Issuing notices to communicators,සන්නිවේදකයන්ට දැන්වීම් නිකුත් කිරීම
Removal from online location,මාර්ගගත ස්ථානයෙන් ඉවත් කිරීම
Referral to appropriate court,අදාළ අධිකරණයට යොමු කිරීම
Maintenance of online portal,මාර්ගගත ද්වාරය පවත්වාගෙන යාම
Public awareness on false statements,අසත්‍ය ප්‍රකාශ පිළිබඳ මහජන අවබෝධය
Registration of social media websites,සමාජ මාධ්‍ය වෙබ් අඩවි ලියාපදිංචිය
Consultation with affected persons,බලපෑමට ලක්වන පුද්ගලයන් සමඟ උපදේශනය
Advice to the Government,රජයට උපදෙස් ලබාදීම
Acquisition of movable property,චංචල දේපළ අත්කර ගැනීම
Acquisition of immovable property,නිශ්චල දේපළ අත්කර ගැනීම
Employment of Commission staff,කොමිෂන් සභා කාර්ය මණ්ඩලය සේවයට යෙදවීම
Dismissal of Commission staff,කොමිෂන් සභා කාර්ය මණ්ඩලය ඉවත් කිරීම
Threat caused by false statement,අසත්‍ය ප්‍රකාශයෙන් ඇතිවන තර්ජනය
Hostility between classes of people,පුද්ගල පන්ති අතර වෛරීභාවය
Communication amounting to contempt,අධිකරණ අපහාසයක් වන සන්නිවේදනය
Wanton provocation by statement,ප්‍රකාශයකින් අවිචාර ප්‍රකෝප කිරීම
Malicious communication online,ද්වේෂ සහගත මාර්ගගත සන්නිවේදනය
Disturbance of religious assembly,ආගමික රැස්වීමට බාධා කිරීම
Insult to religious feelings,ආගමික හැඟීම්වලට අපහාස කිරීම
Deception through online account,මාර්ගගත ගිණුමක් හරහා රැවටීම
Dishonest inducement of person,වංක ලෙස පුද්ගලයෙකු පොළඹවීම
Retention of property by deception,රැවටීමෙන් දේපළ රඳවා ගැනීම
Representation as another person,වෙනත් පුද්ගලයෙකු ලෙස පෙනී සිටීම
False report causing public alarm,මහජන භීතිය ඇති කරන අසත්‍ය වාර්තාව
Publication of target person information,ඉලක්ක පුද්ගලයාගේ තොරතුරු ප්‍රකාශනය
Threatening or distressing behaviour,තර්ජනාත්මක හෝ පීඩාකාරී හැසිරීම
Degrading online environment,අවමන්කාරී මාර්ගගත පරිසරය
Protection of children online,මාර්ගගතව ළමුන් ආරක්ෂා කිරීම
Offence committed through online location,මාර්ගගත ස්ථානයක් හරහා සිදු කරන අපරාධය
Publishing harmful child-related material,ළමුන්ට සම්බන්ධ හානිකර ද්‍රව්‍ය ප්‍රකාශනය
Bot used for offence,අපරාධයක් සඳහා භාවිතා කරන බොට්
Communication perceived by end users,අවසාන පරිශීලකයන් විසින් අවබෝධ කරගත් සන්නිවේදනය
Information pertaining to communication,සන්නිවේදනයට අදාළ තොරතුරු
Details of online location,මාර්ගගත ස්ථානයේ විස්තර
Details of prohibited communication,තහනම් සන්නිවේදනයේ විස්තර
Regulation of secured transactions,සුරක්ෂිත ගනුදෙනු නියාමනය
Security rights in movable property,චංචල දේපළවල සුරක්ෂණ අයිතිවාසිකම්
Establishment of registration authority,ලියාපදිංචි කිරීමේ අධිකාරිය පිහිටුවීම
Register of security rights,සුරක්ෂණ අයිතිවාසිකම් ලේඛනය
Rights of secured parties,සුරක්ෂිත පාර්ශවයන්ගේ අයිතිවාසිකම්
Duties of secured parties,සුරක්ෂිත පාර්ශවයන්ගේ වගකීම්
Rights of debtors,ණයගැතියන්ගේ අයිතිවාසිකම්
Duties of debtors,ණයගැතියන්ගේ වගකීම්
Creation of security rights,සුරක්ෂණ අයිතිවාසිකම් නිර්මාණය
Perfection of security rights,සුරක්ෂණ අයිතිවාසිකම් පරිපූර්ණ කිරීම
Subordination of unperfected rights,පරිපූර්ණ නොකළ අයිතිවාසිකම් අනුප්‍රමුඛ කිරීම
Priority among creditors,ණයහිමියන් අතර ප්‍රමුඛතාව
Competing creditor claims,තරඟකාරී ණයහිමි හිමිකම්
Collateral subject to security,සුරක්ෂණයට යටත් උපබන්ධන දේපළ
Description of collateral,උපබන්ධන දේපළ විස්තර කිරීම
Possession of collateral,උපබන්ධන දේපළ භුක්තිය
Custody of collateral,උපබන්ධන දේපළ භාරකාරත්වය
Preservation of collateral value,උපබන්ධන දේපළ වටිනාකම ආරක්ෂා කිරීම
Transfer of chattel paper,චංචල දේපළ පත්‍රය පවරාදීම
Assignment of account rights,ගිණුම් අයිතිවාසිකම් පවරාදීම
Lease over one year,වසරකට වැඩි බදු ගිවිසුම
Payment of obligation,බැඳීමක් ගෙවීම
Performance of obligation,බැඳීමක් ඉටු කිරීම
Notice of judgment registration,තීන්දු දැන්වීම ලියාපදිංචි කිරීම
Security agreement terms,සුරක්ෂණ ගිවිසුමේ කොන්දේසි
Written security agreement,ලිඛිත සුරක්ෂණ ගිවිසුම
Copy of security agreement,සුරක්ෂණ ගිවිසුමේ පිටපත
Delivery of agreement copy,ගිවිසුම් පිටපත භාරදීම
Security right in proceeds,ලැබීම්වල සුරක්ෂණ අයිතිය
Security right in crops,බෝගවල සුරක්ෂණ අයිතිය
Security right in goods,භාණ්ඩවල සුරක්ෂණ අයිතිය
Security right in instruments,පත්‍රවල සුරක්ෂණ අයිතිය
Security right in money,මුදල්වල සුරක්ෂණ අයිතිය
Security right by possession,භුක්තිය මගින් සුරක්ෂණ අයිතිය
Security right by registration,ලියාපදිංචිය මගින් සුරක්ෂණ අයිතිය
Temporary perfection period,තාවකාලික පරිපූර්ණ කිරීමේ කාලය
Control of debtor,ණයගැතියාගේ පාලනය
Knowledge of security right,සුරක්ෂණ අයිතිය පිළිබඳ දැනුම
Good faith assignment,හොඳ විශ්වාසයෙන් පවරාදීම
Defence against assignee,පවරාගන්නාට එරෙහි ආරක්ෂණය
Acceleration of payment,ගෙවීම වේගවත් කිරීම
Collateral in jeopardy,අවදානමට ලක් වූ උපබන්ධන දේපළ
Reasonable grounds of belief,විශ්වාසය සඳහා සාධාරණ හේතු
Preservation expenses of collateral,උපබන්ධන දේපළ ආරක්ෂණ වියදම්
Insurance of collateral,උපබන්ධන දේපළ රක්ෂණය
Risk of loss or damage,පාඩු හෝ හානි අවදානම
Additional security from profits,ලාභවලින් අතිරේක සුරක්ෂණය
Use of collateral,උපබන්ධන දේපළ භාවිතය
Authorized representative of debtor,ණයගැතියාගේ අවසරලත් නියෝජිතයා
Statement of indebtedness,ණයබැඳීම පිළිබඳ ප්‍රකාශය
Statement of collateral,උපබන්ධන දේපළ පිළිබඳ ප්‍රකාශය
Correction of collateral statement,උපබන්ධන ප්‍රකාශය නිවැරදි කිරීම
Request for true copy,සත්‍ය පිටපතක් සඳහා ඉල්ලීම
Response within fifteen days,දින පහළොවක් තුළ ප්‍රතිචාරය
Incomplete or incorrect response,අසම්පූර්ණ හෝ වැරදි ප්‍රතිචාරය
Disclosure of successor,අනුප්‍රාප්තිකයා හෙළි කිරීම
Application to Magistrate Court,මහේස්ත්‍රාත් අධිකරණයට ඉල්ලීම
Court order for compliance,අනුකූලතාව සඳහා අධිකරණ නියෝගය
Failure to comply with order,නියෝගයට අනුකූල නොවීම
Amendment of Prevention of Frauds Ordinance,වංචා වැළැක්වීමේ ආඥාපනත සංශෝධනය කිරීම
Relevant deed or instrument,අදාළ ඔප්පුව හෝ සාධන පත්‍රය
Deed in writing,ලිඛිත ඔප්පුව
Instrument in writing,ලිඛිත සාධන පත්‍රය
Signed by every executant,සෑම ලියා අත්සන් කරන්නෙකු විසින් අත්සන් කළ
Duly authorised by executant,ලියා අත්සන් කරන්නා විසින් යථා පරිදි බලය පැවරූ
Presence of licensed notary public,බලපත්‍රලාභී ප්‍රසිද්ධ නොතාරිස්වරයෙකු ඉදිරිපිට
Presence of witnesses,සාක්ෂිකරුවන් ඉදිරිපිට
Present at the same time,එකවර පැමිණ සිටීම
Presence of one another,එකිනෙකා ඉදිරියේ
Attested by notary,නොතාරිස්වරයා විසින් සහතික කළ
Transfer deed requirements,පැවරීමේ ඔප්පුවේ නියමයන්
Affix signatures,අත්සන් තැබීම
Affix thumb impressions,මහපට ඇඟිලි සලකුණු තැබීම
Unable to execute deed,ඔප්පුව ලියා අත්සන් කිරීමට නොහැකි
Authorize another person in writing,වෙනත් තැනැත්තෙකුට ලිඛිතව බලය පැවරීම
Sign on his behalf,ඔහු වෙනුවෙන් අත්සන් කිරීම
Comply with subsection requirements,උපවගන්තියේ නියමයන්ට අනුකූල වීම
Corporate body transferee,සංස්ථාපිත මණ්ඩලයක් වන ගැණුම්කරු
Board unable to be present,අධ්‍යක්ෂ මණ්ඩලයට පැමිණ සිටීමට නොහැකි
Person authorized by Board,මණ්ඩලය විසින් බලය පැවරූ තැනැත්තා
Minor transferee,බාලවයස් ගැණුම්කරු
Guardian acting on behalf,භාරකරු වෙනුවෙන් ක්‍රියා කිරීම
Competent to act,ක්‍රියා කිරීමට ශක්නුතාව ඇති
Purpose of this section,මෙම වගන්තියේ කාර්යය
Sinhala text shall prevail,සිංහල භාෂා පාඨය බලපැවැත්විය යුතුය
In case of inconsistency,අනනුකූලතාවක් ඇති වූ විට
Repeal of paragraph,ඡේදය ඉවත් කිරීම
Substitution of words,වචන ආදේශ කිරීම
Addition of new subsection,නව උපවගන්තිය එකතු කිරීම
Renumbering of section,වගන්තිය නැවත අංකනය කිරීම
Immediately after subsection,උපවගන්තියට ඉක්බිතිවම
Certified on date,දිනයේ සහතික කරන ලද
Short title of Act,පනතේ ලුහුඬු නාමය
Execution of relevant deed,අදාළ ඔප්පුව ලියා අත්සන් කිරීම
Execution of relevant instrument,අදාළ සාධන පත්‍රය ලියා අත්සන් කිරීම
Authorisation by executant,ලියා අත්සන් කරන්නා විසින් බලය පැවරීම
Written authorisation by executant,ලියා අත්සන් කරන්නා විසින් ලිඛිත බලය පැවරීම
Signature before notary,නොතාරිස්වරයා ඉදිරියේ අත්සන් කිරීම
Thumb impression before notary,නොතාරිස්වරයා ඉදිරියේ මහපට ඇඟිලි සලකුණ තැබීම
Attestation by licensed notary,බලපත්‍රලාභී නොතාරිස්වරයා විසින් සහතික කිරීම
Presence of transfer parties,පැවරීම් පාර්ශවයන්ගේ පැමිණීම
Execution before witnesses,සාක්ෂිකරුවන් ඉදිරියේ ලියා අත්සන් කිරීම
Attestation of transfer deed,පැවරීමේ ඔප්පුව සහතික කිරීම
Signing by authorised person,බලය ලත් තැනැත්තා විසින් අත්සන් කිරීම
Execution by authorised person,බලය ලත් තැනැත්තා විසින් ලියා අත්සන් කිරීම
Authority to sign deed,ඔප්පුව අත්සන් කිරීමට බලය
Authority to execute document,ලේඛනය ලියා අත්සන් කිරීමට බලය
Inability of transferee,ගැණුම්කරුගේ නොහැකියාව
Written authority of transferee,ගැණුම්කරුගේ ලිඛිත බලය
Corporate body representative,සංස්ථාපිත මණ්ඩලයේ නියෝජිතයා
Execution by corporate representative,සංස්ථාපිත නියෝජිතයා විසින් අත්සන් කිරීම
Minor transfer representation,බාලවයස් පැවරීම් නියෝජනය
Guardian of minor transferee,බාලවයස් ගැණුම්කරුගේ භාරකරු
Competent guardian authority,ශක්නුතාව ඇති භාරකරුගේ බලය
Requirement of written deed,ලිඛිත ඔප්පුවක අවශ්‍යතාව
Requirement of written instrument,ලිඛිත සාධන පත්‍රයක අවශ්‍යතාව
Validity of deed execution,ඔප්පුව ලියා අත්සන් කිරීමේ වලංගුභාවය
Validity of attestation,සහතික කිරීමේ වලංගුභාවය
Notarial execution requirement,නොතාරිස් අත්සන් කිරීමේ අවශ්‍යතාව
Witness attestation requirement,සාක්ෂිකරු සහතික කිරීමේ අවශ්‍යතාව
Transfer deed attestation,පැවරීමේ ඔප්පුව සහතික කිරීම
Legal effect of attestation,සහතික කිරීමේ නීතිමය බලපෑම
Requirement for transfer deed,පැවරීමේ ඔප්පුව සඳහා අවශ්‍යතාව
